Station,Pacum,Pacum_inmet_aut,Pacum_average
CEMADEN Jardim Sao Paulo,4048.8,5540.6,4866.6
CEMADEN Jardim Sao Paulo,4173.4,5702.6,5009.225
CEMADEN Jardim Sao Paulo,4444.8,5936.4,5196.275
CEMADEN Jardim Sao Paulo,4738.6,6253.2,5472.875
CEMADEN Jardim Sao Paulo,5126.6,6690.6,5862.225
CEMADEN Jardim Sao Paulo,5238.2,6785.4,5950.625
CEMADEN Jardim Sao Paulo,5242.8,6792.2,5955.325
CEMADEN Jardim Sao Paulo,5282.6,6820.8,5978.275
CEMADEN Jardim Sao Paulo,5355.4,6850,6009.025
CEMADEN Jardim Sao Paulo,5359.6,6851.8,6010.775
CEMADEN Jardim Sao Paulo,5384.2,6870.8,6025.925
CEMADEN Jardim Sao Paulo,5429.8,6900,6048.925
CEMADEN Jardim Sao Paulo,5485.4,6974.2,6093.775
CEMADEN Jardim Sao Paulo,5653.6,7108,6199.175
CEMADEN Jardim Sao Paulo,5717.2,7377.8,6384.725
CEMADEN Jardim Sao Paulo,5717.2,7388.4,6416.825
INMET automatic,451,451,436.45
INMET automatic,644.2,644.2,630.675
INMET automatic,651.6,651.6,712.225
INMET automatic,661.2,661.2,720.975
INMET automatic,812.4,812.4,843.725
INMET automatic,930.6,930.6,943.15
INMET automatic,933.2,933.2,945.425
INMET automatic,989,989,989.475
INMET automatic,1010.6,1010.6,1014.975
INMET automatic,1166.4,1166.4,1147.725
INMET automatic,1357.6,1357.6,1297.25
INMET automatic,1609,1609,1474.65
INMET automatic,1868,1868,1679.05
INMET automatic,2001,2001,1845.225
INMET automatic,2173.6,2173.6,1959.75
INMET automatic,2336.6,2336.6,2101.025
INMET automatic,2474.6,2474.6,2239.95
INMET automatic,2484.4,2484.4,2248.7
INMET automatic,2484.4,2484.4,2248.7
INMET automatic,2506,2506,2267.475
INMET automatic,2562.2,2562.2,2318.325
INMET automatic,2708.8,2708.8,2448.55
INMET automatic,2910.2,2910.2,2650.3
INMET automatic,3185,3185,2859.7
INMET automatic,3428.6,3428.6,3086.85
INMET automatic,3559,3559,3218.375
INMET automatic,3775.8,3775.8,3420.025
INMET automatic,3788.4,3788.4,3430.65
INMET automatic,3822.6,3822.6,3445.85
INMET automatic,3823,3823,3447.725
INMET automatic,3823.2,3823.2,3450.075
INMET automatic,3855.4,3855.4,3500.775
INMET automatic,3914.4,3914.4,3558.2
INMET automatic,4184.8,4184.8,3826.725
INMET automatic,4345,4345,3973.15
INMET automatic,4527.4,4527.4,4089.45
INMET automatic,4676.8,4676.8,4230.4
INMET automatic,4918.6,4918.6,4406
INMET automatic,5090.6,5090.6,4520.175
INMET automatic,5286.6,5286.6,4634.525
INMET automatic,5323.2,5323.2,4670.5
INMET automatic,5332.2,5332.2,4675.3
INMET automatic,5368.4,5368.4,4714.6
INMET automatic,5393.6,5393.6,4731.975
INMET automatic,5472,5472,4793.875
INMET automatic,5540.6,5540.6,4866.6
INMET automatic,5702.6,5702.6,5009.225
INMET automatic,5936.4,5936.4,5196.275
INMET automatic,6253.2,6253.2,5472.875
INMET automatic,6690.6,6690.6,5862.225
INMET automatic,6785.4,6785.4,5950.625
INMET automatic,6792.2,6792.2,5955.325
INMET automatic,6820.8,6820.8,5978.275
INMET automatic,6850,6850,6009.025
INMET automatic,6851.8,6851.8,6010.775
INMET automatic,6870.8,6870.8,6025.925
INMET automatic,6900,6900,6048.925
INMET automatic,6974.2,6974.2,6093.775
INMET automatic,7108,7108,6199.175
INMET automatic,7377.8,7377.8,6384.725
INMET automatic,7388.4,7388.4,6416.825
INMET conventional,463.4,451,436.45
INMET conventional,654.5,644.2,630.675
INMET conventional,655.7,651.6,712.225
INMET conventional,666.1,661.2,720.975
INMET conventional,801.7,812.4,843.725
INMET conventional,903.8,930.6,943.15
INMET conventional,906.3,933.2,945.425
INMET conventional,931.9,989,989.475
INMET conventional,958.3,1010.6,1014.975
INMET conventional,1088.9,1166.4,1147.725
INMET conventional,1227.2,1357.6,1297.25
INMET conventional,1405.4,1609,1474.65
INMET conventional,1578.4,1868,1679.05
INMET conventional,1719.7,2001,1845.225
INMET conventional,1724,2173.6,1959.75
INMET conventional,1884.3,2336.6,2101.025
INMET conventional,1977.8,2474.6,2239.95
INMET conventional,1986.2,2484.4,2248.7
INMET conventional,1986.2,2484.4,2248.7
INMET conventional,2000.7,2506,2267.475
INMET conventional,2034.7,2562.2,2318.325
INMET conventional,2160.8,2708.8,2448.55
INMET conventional,2318.8,2910.2,2650.3
INMET conventional,2384.6,3185,2859.7
INMET conventional,2557,3428.6,3086.85
INMET conventional,2684.9,3559,3218.375
INMET conventional,2813.3,3775.8,3420.025
INMET conventional,2818.8,3788.4,3430.65
INMET conventional,2823.4,3822.6,3445.85
INMET conventional,2823.5,3823,3447.725
INMET conventional,2826.9,3823.2,3450.075
INMET conventional,2907.3,3855.4,3500.775
INMET conventional,2948.6,3914.4,3558.2
INMET conventional,3190.7,4184.8,3826.725
INMET conventional,3292,4345,3973.15
INMET conventional,3330,4527.4,4089.45
INMET conventional,3461.8,4676.8,4230.4
INMET conventional,3617.8,4918.6,4406
INMET conventional,3741.1,5090.6,4520.175
INMET conventional,3810.7,5286.6,4634.525
INMET conventional,3843.4,5323.2,4670.5
INMET conventional,3846.2,5332.2,4675.3
INMET conventional,3880.2,5368.4,4714.6
INMET conventional,3888.1,5393.6,4731.975
INMET conventional,3940.1,5472,4793.875
INMET conventional,3985.4,5540.6,4866.6
INMET conventional,4130.9,5702.6,5009.225
INMET conventional,4192.7,5936.4,5196.275
INMET conventional,4355.7,6253.2,5472.875
INMET conventional,4764.7,6690.6,5862.225
INMET conventional,4791.5,6785.4,5950.625
INMET conventional,4791.5,6792.2,5955.325
INMET conventional,4791.5,6820.8,5978.275
INMET conventional,4791.5,6850,6009.025
INMET conventional,4791.5,6851.8,6010.775
INMET conventional,4791.5,6870.8,6025.925
INMET conventional,4791.5,6900,6048.925
INMET conventional,4791.5,6974.2,6093.775
INMET conventional,4791.5,7108,6199.175
INMET conventional,4791.5,7377.8,6384.725
INMET conventional,4791.5,7388.4,6416.825
