Date,P_left,P_right1,P_right2
2016-05-19,0.0,0.0,0.7
2016-05-20,0.0,0.0,0.0
2016-05-21,41.40000000000001,51.2,51.8
2016-05-22,0.2,0.0,0.0
2016-05-23,2.8,1.4,0.0
2016-05-24,0.0,0.0,0.0
2016-05-25,0.0,0.0,0.0
2016-05-26,0.0,0.0,0.0
2016-05-27,0.0,0.0,0.0
2016-05-28,0.0,0.0,0.0
2016-05-29,0.8,1.0,0.0
2016-05-30,13.799999999999995,14.8,0.0
2016-05-31,12.2,18.8,31.9
2016-06-01,18.2,22.6,3.4000000000000004
2016-06-02,22.6,21.0,26.4
2016-06-03,26.799999999999994,33.4,37.9
2016-06-04,1.0,3.6000000000000005,13.5
2016-06-05,0.6000000000000001,8.399999999999999,0.3
2016-06-06,16.599999999999998,12.4,0.0
2016-06-07,9.6,16.4,16.8
2016-06-08,0.2,0.2,3.8
2016-06-09,0.0,0.2,0.0
2016-06-10,0.0,0.0,0.0
2016-06-11,0.0,0.0,0.0
2016-06-12,0.0,0.0,0.0
2016-06-13,0.0,0.0,0.0
2016-06-14,0.0,0.0,0.0
2016-06-15,0.0,0.0,0.0
2016-06-16,0.0,0.0,0.0
2016-06-17,0.0,0.0,0.0
2016-06-18,0.0,0.0,0.0
2016-06-19,0.0,0.0,0.0
2016-06-20,0.0,0.0,0.0
2016-06-21,0.0,0.0,0.0
2016-06-22,0.4,0.0,0.0
2016-06-23,1.6,0.0,0.0
2016-06-24,0.0,0.0,0.0
2016-06-25,0.0,0.0,0.0
2016-06-26,0.0,0.0,0.0
2016-06-27,0.0,0.0,0.0
2016-06-28,0.0,0.0,0.0
2016-06-29,0.0,0.0,0.0
2016-06-30,0.0,0.0,0.0
2016-07-01,,0.0,0.0
2016-07-02,,0.0,0.0
2016-07-03,,0.0,0.0
2016-07-04,,0.0,0.0
2016-07-05,,0.0,0.0
2016-07-06,0.0,0.0,0.0
2016-07-07,0.0,0.0,0.0
2016-07-08,0.0,0.0,0.0
2016-07-09,0.0,0.0,0.0
2016-07-10,0.0,0.0,0.0
2016-07-11,0.0,0.0,0.0
2016-07-12,0.0,0.0,0.0
2016-07-13,0.0,0.0,0.0
2016-07-14,0.0,0.0,0.0
2016-07-15,0.0,0.0,0.0
2016-07-16,1.4,2.6,0.0
2016-07-17,0.4,0.0,2.5
2016-07-18,0.0,0.0,0.0
2016-07-19,0.0,0.0,0.0
2016-07-20,0.0,0.0,0.0
2016-07-21,0.0,0.0,0.0
2016-07-22,0.0,0.0,0.0
2016-07-23,0.0,0.0,0.0
2016-07-24,0.0,0.0,0.0
2016-07-25,0.0,0.0,0.0
2016-07-26,0.0,0.0,0.0
2016-07-27,0.0,0.0,0.0
2016-07-28,0.0,0.0,0.0
2016-07-29,0.0,0.0,0.0
2016-07-30,0.0,0.0,0.0
2016-07-31,0.0,0.0,0.0
2016-08-01,0.0,0.0,0.0
2016-08-02,0.0,0.0,0.0
2016-08-03,0.0,0.0,0.0
2016-08-04,0.0,0.0,0.0
2016-08-05,0.0,0.0,0.0
2016-08-06,0.0,0.0,0.0
2016-08-07,0.0,0.0,0.0
2016-08-08,0.0,0.0,0.0
2016-08-09,0.0,0.0,0.0
2016-08-10,0.0,0.0,0.0
2016-08-11,0.0,0.0,0.0
2016-08-12,0.0,0.0,0.0
2016-08-13,0.0,0.0,0.0
2016-08-14,0.0,0.0,0.0
2016-08-15,4.6000000000000005,3.6,0.0
2016-08-16,2.600000000000001,2.0,5.5
2016-08-17,0.0,0.0,0.0
2016-08-18,0.0,0.0,0.0
2016-08-19,0.0,0.0,0.0
2016-08-20,7.200000000000001,7.400000000000001,3.9
2016-08-21,23.399999999999984,24.6,3.6
2016-08-22,0.0,0.0,0.0
2016-08-23,0.0,0.2,0.0
2016-08-24,0.0,0.0,0.0
2016-08-25,0.0,0.0,0.0
2016-08-26,0.0,0.0,0.0
2016-08-27,0.0,0.0,0.0
2016-08-28,0.0,0.0,0.0
2016-08-29,0.0,0.0,0.0
2016-08-30,0.0,0.0,0.0
2016-08-31,17.399999999999995,17.999999999999996,12.6
2016-09-01,0.2,0.0,5.4
2016-09-02,24.8,0.0,0.0
2016-09-03,5.4,1.7999999999999998,1.8
2016-09-04,0.0,0.2,0.0
2016-09-05,0.0,0.0,0.0
2016-09-06,8.400000000000002,8.399999999999999,7.1
2016-09-07,0.2,0.2,0.9
2016-09-08,0.0,0.4,0.0
2016-09-09,0.0,0.0,0.4
2016-09-10,0.0,0.0,0.0
2016-09-11,0.0,0.0,0.0
2016-09-12,0.0,0.0,0.0
2016-09-13,0.0,0.0,0.0
2016-09-14,0.0,0.0,0.0
2016-09-15,0.0,0.0,0.0
2016-09-16,0.0,0.0,0.0
2016-09-17,0.0,0.0,0.0
2016-09-18,0.0,0.0,0.0
2016-09-19,5.4,10.6,0.0
2016-09-20,0.0,0.0,10.8
2016-09-21,0.0,0.0,0.0
2016-09-22,0.0,0.0,0.0
2016-09-23,0.0,0.0,0.0
2016-09-24,0.0,0.0,0.0
2016-09-25,0.0,0.0,0.0
2016-09-26,0.0,0.0,0.0
2016-09-27,0.0,0.0,0.0
2016-09-28,0.0,0.0,0.0
2016-09-29,0.0,0.0,0.0
2016-09-30,0.0,0.0,0.0
2016-10-01,0.0,0.0,0.0
2016-10-02,0.0,0.0,0.0
2016-10-03,0.0,0.0,0.0
2016-10-04,1.4,1.2,1.2
2016-10-05,0.0,0.0,0.0
2016-10-06,0.0,0.0,0.0
2016-10-07,0.0,0.0,0.0
2016-10-08,0.0,0.0,0.0
2016-10-09,0.0,0.0,0.0
2016-10-10,0.0,0.0,0.0
2016-10-11,27.799999999999994,23.8,0.0
2016-10-12,0.0,0.6,24.2
2016-10-13,3.0,7.6,0.0
2016-10-14,2.0,2.4,8.9
2016-10-15,0.0,0.0,0.7
2016-10-16,0.0,8.6,0.0
2016-10-17,0.0,0.2,0.0
2016-10-18,0.4,2.6,0.0
2016-10-19,0.0,0.0,2.4
2016-10-20,32.800000000000004,26.6,0.0
2016-10-21,0.0,0.0,28.0
2016-10-22,34.800000000000004,15.6,0.0
2016-10-23,0.2,0.4,14.2
2016-10-24,22.4,29.8,0.0
2016-10-25,6.200000000000001,11.4,32.2
2016-10-26,24.4,10.8,7.2
2016-10-27,3.0,1.2,11.6
2016-10-28,0.0,0.0,0.0
2016-10-29,0.0,0.0,0.0
2016-10-30,0.0,0.0,0.0
2016-10-31,38.6,13.0,0.0
2016-11-01,0.2,2.0,14.4
2016-11-02,8.2,39.2,0.0
2016-11-03,0.2,5.4,42.0
2016-11-04,2.2,2.8000000000000003,5.800000000000002
2016-11-05,45.2,17.599999999999994,0.0
2016-11-06,54.8,1.6,18.2
2016-11-07,0.0,0.0,0.0
2016-11-08,0.0,0.0,0.0
2016-11-09,28.4,28.0,0.0
2016-11-10,3.0,2.6,30.8
2016-11-11,0.0,0.0,0.0
2016-11-12,0.0,0.0,0.0
2016-11-13,26.59999999999999,28.8,0.0
2016-11-14,23.59999999999999,33.0,0.0
2016-11-15,0.0,0.2,0.4
2016-11-16,0.0,0.0,0.0
2016-11-17,0.0,0.0,0.0
2016-11-18,0.0,0.0,0.0
2016-11-19,0.0,0.0,0.0
2016-11-20,0.0,0.0,0.0
2016-11-21,0.0,0.0,0.0
2016-11-22,16.599999999999998,14.0,0.0
2016-11-23,0.4,0.2,13.2
2016-11-24,0.0,0.0,0.0
2016-11-25,0.0,0.0,0.0
2016-11-26,0.0,0.0,0.0
2016-11-27,0.0,0.0,0.0
2016-11-28,0.2,2.0,0.0
2016-11-29,22.399999999999995,13.8,0.5
2016-11-30,0.2,0.0,13.0
2016-12-01,0.0,0.0,0.0
2016-12-02,0.0,0.0,0.0
2016-12-03,6.8,7.2,0.0
2016-12-04,16.999999999999996,11.0,6.8
2016-12-05,0.0,0.2,0.0
2016-12-06,0.0,0.0,0.0
2016-12-07,23.0,7.6,0.0
2016-12-08,20.599999999999994,10.8,7.4
2016-12-09,20.6,86.4,73.60000000000002
2016-12-10,25.8,22.2,34.4
2016-12-11,8.4,16.000000000000004,6.8
2016-12-12,12.2,10.8,0.0
2016-12-13,0.8,5.2,3.4
2016-12-14,11.0,1.4,4.8
2016-12-15,0.0,0.0,1.3
2016-12-16,0.0,0.0,0.0
2016-12-17,0.0,0.0,0.0
2016-12-18,0.2,0.0,0.0
2016-12-19,21.2,8.600000000000001,0.0
2016-12-20,5.0,5.4,11.2
2016-12-21,1.6,1.4,1.2
2016-12-22,6.000000000000001,8.0,7.8
2016-12-23,4.8,19.200000000000006,0.0
2016-12-24,1.2,0.4,18.5
2016-12-25,34.60000000000001,25.6,0.0
2016-12-26,0.0,2.6,0.0
2016-12-27,5.0,0.0,0.4
2016-12-28,0.0,0.0,0.0
2016-12-29,0.6000000000000001,0.6,0.6
2016-12-30,0.0,0.0,0.0
2016-12-31,0.0,0.8,0.0
2017-01-01,0.0,0.0,0.6
2017-01-02,0.0,0.0,0.0
2017-01-03,0.8,4.6,0.0
2017-01-04,0.0,0.0,4.5
2017-01-05,4.4,7.6,0.0
2017-01-06,32.60000000000001,0.0,7.4
2017-01-07,0.2,1.4,1.1
2017-01-08,0.4,0.0,0.0
2017-01-09,2.0,4.2,0.0
2017-01-10,13.999999999999995,10.0,12.6
2017-01-11,57.40000000000003,8.0,7.4
2017-01-12,18.8,1.4,0.6
2017-01-13,0.6000000000000001,0.2,0.5
2017-01-14,1.0,0.0,0.0
2017-01-15,11.4,16.8,0.0
2017-01-16,0.2,0.0,0.0
2017-01-17,20.8,24.4,1.2
2017-01-18,49.80000000000002,27.4,24.3
2017-01-19,4.600000000000001,19.4,23.0
2017-01-20,21.2,22.6,27.6
2017-01-21,3.0000000000000004,19.000000000000004,31.1
2017-01-22,10.4,5.6,0.0
2017-01-23,0.4,35.00000000000001,0.0
2017-01-24,6.6000000000000005,6.0,1.9
2017-01-25,0.4,15.8,3.7
2017-01-26,5.600000000000001,6.6000000000000005,20.0
2017-01-27,2.8,4.4,1.9
2017-01-28,0.0,0.0,3.6
2017-01-29,0.0,0.0,0.0
2017-01-30,0.0,0.0,0.0
2017-01-31,12.4,18.6,0.0
2017-02-01,13.199999999999996,2.4000000000000004,17.6
2017-02-02,34.00000000000001,28.0,22.0
2017-02-03,42.000000000000014,19.8,24.6
2017-02-04,0.0,0.0,1.1
2017-02-05,48.4,2.2,0.0
2017-02-06,0.4,11.0,0.0
2017-02-07,48.40000000000001,1.6,10.8
2017-02-08,0.0,0.0,1.4
2017-02-09,0.0,0.0,0.0
2017-02-10,0.0,0.0,0.0
2017-02-11,0.0,0.0,0.0
2017-02-12,0.0,0.0,0.0
2017-02-13,0.0,0.0,0.0
2017-02-14,0.0,0.0,0.0
2017-02-15,0.0,0.0,0.0
2017-02-16,0.0,0.0,0.0
2017-02-17,2.4,4.2,0.0
2017-02-18,94.8,39.0,4.1
2017-02-19,0.0,0.2,39.0
2017-02-20,0.0,0.0,0.0
2017-02-21,0.0,0.0,0.0
2017-02-22,0.0,0.0,0.0
2017-02-23,0.0,0.0,0.0
2017-02-24,4.0,3.8,3.8
2017-02-25,39.6,15.0,14.8
2017-02-26,0.8,2.4,0.0
2017-02-27,2.4,3.2,0.0
2017-02-28,0.0,0.2,2.1
2017-03-01,0.0,5.4,0.0
2017-03-02,8.799999999999997,8.6,0.0
2017-03-03,7.000000000000003,28.6,0.0
2017-03-04,1.7999999999999998,18.200000000000006,0.0
2017-03-05,1.2,20.2,0.0
2017-03-06,33.79999999999999,43.2,0.0
2017-03-07,0.0,21.6,0.0
2017-03-08,0.0,5.4,0.0
2017-03-09,0.0,0.0,0.0
2017-03-10,0.0,0.0,0.0
2017-03-11,0.0,0.0,0.0
2017-03-12,0.0,0.0,0.0
2017-03-13,0.0,0.0,0.0
2017-03-14,3.8,14.0,0.0
2017-03-15,1.2,0.0,0.0
2017-03-16,0.0,0.0,0.0
2017-03-17,0.0,0.0,0.0
2017-03-18,63.6,2.0,0.0
2017-03-19,4.200000000000001,5.4,4.3
2017-03-20,0.0,0.0,0.0
2017-03-21,0.0,0.0,0.0
2017-03-22,0.0,0.0,0.0
2017-03-23,0.0,0.0,0.0
2017-03-24,0.0,0.0,0.0
2017-03-25,0.0,0.0,0.0
2017-03-26,0.0,0.0,0.0
2017-03-27,0.0,0.0,0.0
2017-03-28,0.0,0.0,0.0
2017-03-29,0.0,0.0,0.0
2017-03-30,0.0,0.0,0.0
2017-03-31,0.0,0.0,0.0
2017-04-01,0.0,0.0,0.0
2017-04-02,0.0,0.0,0.0
2017-04-03,0.0,0.0,0.0
2017-04-04,0.0,0.0,0.0
2017-04-05,0.0,0.0,0.0
2017-04-06,46.0,43.6,10.1
2017-04-07,23.2,51.2,35.9
2017-04-08,0.2,0.0,49.0
2017-04-09,0.0,0.0,0.0
2017-04-10,0.0,0.2,0.0
2017-04-11,0.6000000000000001,0.0,0.0
2017-04-12,0.0,0.0,0.0
2017-04-13,0.0,0.0,0.0
2017-04-14,0.0,0.0,0.0
2017-04-15,0.0,0.0,0.0
2017-04-16,0.0,0.0,0.0
2017-04-17,0.2,3.2,0.0
2017-04-18,0.0,0.0,2.9
2017-04-19,0.0,0.0,0.0
2017-04-20,0.0,0.0,0.0
2017-04-21,33.2,18.4,10.8
2017-04-22,0.4,20.4,26.8
2017-04-23,0.0,0.0,0.0
2017-04-24,0.0,0.0,0.0
2017-04-25,0.0,0.0,0.0
2017-04-26,33.60000000000001,24.40000000000001,0.0
2017-04-27,0.8,1.4,24.8
2017-04-28,0.0,0.2,0.0
2017-04-29,0.0,0.0,0.0
2017-04-30,0.0,0.0,0.0
2017-05-01,0.0,0.2,0.0
2017-05-02,0.0,0.0,0.0
2017-05-03,0.0,0.0,0.0
2017-05-04,0.0,0.0,0.0
2017-05-05,6.6000000000000005,0.4,0.0
2017-05-06,5.2,13.0,12.6
2017-05-07,0.0,0.0,0.0
2017-05-08,0.0,0.0,0.0
2017-05-09,0.0,0.2,0.0
2017-05-10,0.0,0.0,0.0
2017-05-11,0.0,0.0,0.0
2017-05-12,0.0,0.0,0.0
2017-05-13,0.0,0.0,0.0
2017-05-14,1.8,3.4,0.0
2017-05-15,0.2,0.2,0.0
2017-05-16,0.0,0.0,0.0
2017-05-17,0.0,0.0,0.0
2017-05-18,19.599999999999994,17.400000000000002,0.0
2017-05-19,72.0,62.00000000000001,31.6
2017-05-20,4.6000000000000005,4.6,49.3
2017-05-21,29.799999999999994,21.8,0.0
2017-05-22,10.8,14.4,0.0
2017-05-23,0.0,0.2,0.0
2017-05-24,0.0,0.0,0.0
2017-05-25,0.0,0.0,0.0
2017-05-26,0.0,0.0,0.0
2017-05-27,0.0,0.0,0.0
2017-05-28,0.0,0.0,0.0
2017-05-29,0.0,0.2,0.0
2017-05-30,0.0,0.0,0.0
2017-05-31,0.0,0.0,0.0
2017-06-01,0.0,0.2,0.0
2017-06-02,0.0,0.2,0.0
2017-06-03,0.0,0.0,0.0
2017-06-04,0.0,0.0,0.0
2017-06-05,0.0,0.6,0.0
2017-06-06,0.0,0.0,0.9
2017-06-07,0.0,0.0,0.0
2017-06-08,0.0,0.0,0.0
2017-06-09,0.0,0.8,0.1
2017-06-10,0.0,0.2,0.0
2017-06-11,0.0,0.2,0.0
2017-06-12,0.8,1.2000000000000002,0.0
2017-06-13,6.000000000000001,3.6000000000000005,3.7
2017-06-14,2.2,2.8000000000000003,3.7
2017-06-15,0.0,0.0,0.0
2017-06-16,0.0,0.0,0.0
2017-06-17,0.0,0.0,0.0
2017-06-18,0.0,0.0,0.0
2017-06-19,0.0,0.0,0.0
2017-06-20,0.0,0.0,0.0
2017-06-21,0.0,0.0,0.0
2017-06-22,0.0,0.0,0.0
2017-06-23,0.0,0.0,0.0
2017-06-24,0.0,0.0,0.0
2017-06-25,0.0,0.0,0.0
2017-06-26,0.0,0.0,0.0
2017-06-27,0.0,0.0,0.0
2017-06-28,0.0,0.0,0.0
2017-06-29,0.0,0.0,0.0
2017-06-30,0.0,0.0,0.0
2017-07-01,0.0,0.0,0.0
2017-07-02,0.0,0.0,0.0
2017-07-03,0.0,0.0,0.0
2017-07-04,0.0,0.0,0.0
2017-07-05,0.0,0.0,0.0
2017-07-06,0.0,0.0,0.0
2017-07-07,0.0,0.0,0.0
2017-07-08,0.0,0.0,0.0
2017-07-09,0.0,0.0,0.0
2017-07-10,0.0,0.0,0.0
2017-07-11,0.0,0.0,0.0
2017-07-12,0.0,0.0,0.0
2017-07-13,0.0,0.0,0.0
2017-07-14,0.0,0.0,0.0
2017-07-15,0.0,0.0,0.0
2017-07-16,0.0,0.0,0.0
2017-07-17,0.0,0.0,0.0
2017-07-18,0.0,0.0,0.0
2017-07-19,0.0,0.0,0.0
2017-07-20,0.0,0.0,0.0
2017-07-21,0.0,0.0,0.0
2017-07-22,0.0,0.0,0.0
2017-07-23,0.0,0.0,0.0
2017-07-24,0.0,0.0,0.0
2017-07-25,0.0,0.0,0.0
2017-07-26,0.0,0.0,0.0
2017-07-27,0.0,0.0,0.0
2017-07-28,0.0,0.0,0.0
2017-07-29,0.0,0.0,0.0
2017-07-30,0.0,0.0,0.0
2017-07-31,0.0,0.0,0.0
2017-08-01,0.0,0.0,0.0
2017-08-02,0.0,0.0,0.0
2017-08-03,0.0,0.0,0.0
2017-08-04,0.0,0.0,0.0
2017-08-05,0.0,0.0,0.0
2017-08-06,0.0,0.0,0.0
2017-08-07,0.0,0.0,0.0
2017-08-08,0.0,0.0,0.0
2017-08-09,0.0,0.0,0.0
2017-08-10,0.0,0.0,0.0
2017-08-11,0.0,0.0,0.0
2017-08-12,0.0,0.0,0.0
2017-08-13,0.0,0.0,0.0
2017-08-14,0.0,0.0,0.0
2017-08-15,0.0,0.0,0.0
2017-08-16,0.4,2.0,0.6
2017-08-17,1.6,2.2,1.3
2017-08-18,11.799999999999995,10.8,10.1
2017-08-19,0.4,1.2,2.5
2017-08-20,5.200000000000001,5.0,0.0
2017-08-21,0.4,0.4,0.0
2017-08-22,0.0,0.0,0.0
2017-08-23,0.0,0.0,0.0
2017-08-24,0.0,0.0,0.0
2017-08-25,0.0,0.0,0.0
2017-08-26,0.0,0.0,0.0
2017-08-27,0.0,0.0,0.0
2017-08-28,0.0,0.0,0.0
2017-08-29,0.0,0.0,0.0
2017-08-30,0.0,0.0,0.0
2017-08-31,0.0,0.0,0.0
2017-09-01,0.0,0.0,0.0
2017-09-02,0.0,0.0,0.0
2017-09-03,0.0,0.0,0.0
2017-09-04,0.0,0.0,0.0
2017-09-05,0.0,0.0,0.0
2017-09-06,0.0,0.0,0.0
2017-09-07,0.0,0.0,0.0
2017-09-08,0.0,0.0,0.0
2017-09-09,0.0,0.0,0.0
2017-09-10,0.0,0.0,0.0
2017-09-11,0.0,0.0,0.0
2017-09-12,0.0,0.0,0.0
2017-09-13,0.0,0.0,0.0
2017-09-14,0.0,0.0,0.0
2017-09-15,0.0,0.0,0.0
2017-09-16,0.0,0.0,0.0
2017-09-17,0.0,0.0,0.0
2017-09-18,0.0,0.0,0.0
2017-09-19,0.0,0.0,0.0
2017-09-20,0.0,0.0,0.0
2017-09-21,0.0,0.0,0.0
2017-09-22,0.0,0.0,0.0
2017-09-23,0.0,0.0,0.0
2017-09-24,0.0,0.0,0.0
2017-09-25,0.0,0.0,0.0
2017-09-26,0.0,0.0,0.0
2017-09-27,0.0,0.0,0.0
2017-09-28,0.0,0.0,0.0
2017-09-29,27.6,32.4,0.0
2017-09-30,20.8,23.8,34.0
2017-10-01,0.8,0.6,20.6
2017-10-02,13.999999999999995,22.000000000000004,13.8
2017-10-03,1.6,1.4,9.0
2017-10-04,0.0,0.0,0.0
2017-10-05,0.0,0.0,0.0
2017-10-06,0.0,0.0,0.0
2017-10-07,0.0,0.8,0.0
2017-10-08,0.0,0.0,0.5
2017-10-09,0.0,0.0,0.0
2017-10-10,0.0,0.2,0.0
2017-10-11,0.0,10.6,0.0
2017-10-12,0.0,0.0,10.1
2017-10-13,0.0,0.0,0.0
2017-10-14,0.0,0.0,0.0
2017-10-15,0.0,0.0,0.0
2017-10-16,0.0,0.0,0.0
2017-10-17,0.0,0.0,0.0
2017-10-18,0.0,0.0,0.0
2017-10-19,0.0,0.0,0.0
2017-10-20,0.0,0.0,0.0
2017-10-21,0.0,0.0,0.0
2017-10-22,10.0,9.0,0.0
2017-10-23,0.8,1.0,0.0
2017-10-24,0.0,0.0,0.0
2017-10-25,0.0,0.0,0.0
2017-10-26,5.4,5.4,4.8
2017-10-27,42.0,35.8,1.7
2017-10-28,2.6000000000000005,8.8,41.6
2017-10-29,17.2,25.4,0.0
2017-10-30,13.000000000000002,25.4,0.0
2017-10-31,0.2,0.2,24.0
2017-11-01,0.0,0.0,0.0
2017-11-02,0.0,0.0,0.0
2017-11-03,0.4,8.0,0.0
2017-11-04,41.19999999999999,49.6,35.4
2017-11-05,3.600000000000001,11.4,25.6
2017-11-06,0.0,0.0,0.0
2017-11-07,0.0,0.0,0.0
2017-11-08,0.0,0.0,0.0
2017-11-09,10.4,10.8,10.1
2017-11-10,13.0,0.2,0.0
2017-11-11,24.2,34.6,34.6
2017-11-12,0.0,0.0,0.0
2017-11-13,0.0,0.0,0.0
2017-11-14,0.0,0.0,0.0
2017-11-15,0.0,0.0,0.0
2017-11-16,0.0,0.0,0.0
2017-11-17,2.8000000000000003,4.800000000000002,4.8
2017-11-18,5.000000000000001,4.4,0.0
2017-11-19,10.4,19.8,5.1
2017-11-20,4.200000000000001,1.7999999999999998,0.0
2017-11-21,2.8000000000000007,17.799999999999994,0.8
2017-11-22,27.8,25.8,40.40000000000001
2017-11-23,0.2,0.0,0.3
2017-11-24,0.0,0.0,0.0
2017-11-25,0.8,0.0,0.0
2017-11-26,5.600000000000001,7.4,0.0
2017-11-27,1.2,1.2,0.0
2017-11-28,0.2,0.2,0.8999999999999999
2017-11-29,0.0,0.0,0.0
2017-11-30,1.7999999999999998,3.6,0.0
2017-12-01,7.000000000000004,4.8,5.8
2017-12-02,0.0,0.8,2.0
2017-12-03,0.0,0.0,0.0
2017-12-04,0.0,0.0,0.0
2017-12-05,0.0,0.0,0.0
2017-12-06,0.6000000000000001,2.8,0.0
2017-12-07,39.40000000000001,25.4,20.0
