Year,Month,Precipitation
2016,1,399.799999999999
2016,2,244.9999999999996
2016,3,181.99999999999994
2016,4,7.800000000000003
2016,5,116.60000000000008
2016,6,97.60000000000011
2016,7,1.8
2016,8,55.20000000000004
2016,9,44.40000000000001
2016,10,197.00000000000006
2016,11,232.19999999999953
2016,12,226.39999999999972
2017,1,281.79999999999893
2017,2,330.3999999999997
2017,3,125.40000000000003
2017,4,138.1999999999999
2017,5,150.60000000000002
2017,6,8.999999999999998
2017,7,0.0
2017,8,19.799999999999986
2017,9,48.400000000000006
2017,10,107.60000000000008
2017,11,155.60000000000005
2017,12,312.1999999999994
2018,1,274.7999999999995
2018,2,124.40000000000016
2018,3,181.7999999999999
2018,4,23.799999999999994
2018,5,20.599999999999998
2018,6,6.6000000000000005
2018,7,3.2
2018,8,82.20000000000013
2018,9,73.00000000000007
2018,10,301.7999999999993
2018,11,194.59999999999968
2018,12,143.60000000000002
2019,1,131.0000000000001
2019,2,204.79999999999998
2019,3,161.4000000000001
2019,4,187.39999999999995
2019,5,74.60000000000005
2019,6,7.400000000000003
2019,7,44.20000000000002
2019,8,20.599999999999987
2019,9,54.20000000000008
2019,10,90.80000000000003
2019,11,138.40000000000012
2019,12,181.19999999999976
2020,1,332.79999999999865
2020,2,322.99999999999943
2020,3,120.40000000000002
2020,4,7.400000000000001
2020,5,23.399999999999995
2020,6,20.999999999999993
2020,7,1.0
2020,8,16.999999999999986
2020,9,17.199999999999996
2020,10,49.60000000000002
2020,11,119.60000000000007
2020,12,408.7999999999988
2021,1,117.80000000000013
