Year,Month,Precipitation
2015,4,14.199999999999982
2015,5,53.00000000000009
2015,6,4.800000000000001
2015,7,67.6000000000003
2015,8,10.2
2015,9,172.00000000000028
2015,10,69.20000000000014
2015,11,322.9999999999965
2015,12,125.2000000000008
2016,1,229.79999999999956
2016,2,126.20000000000073
2016,3,175.59999999999994
2016,4,9.799999999999997
2016,5,143.99999999999991
2016,6,125.60000000000059
2016,7,2.0
2017,5,139.0000000000002
2017,6,3.6000000000000005
2017,7,0.0
2017,8,9.0
2017,9,11.599999999999996
2017,10,71.40000000000035
2017,11,115.2000000000007
2017,12,146.60000000000008
2018,1,125.20000000000094
2018,2,96.80000000000058
2018,3,123.60000000000058
2018,4,11.6
2018,5,18.399999999999977
2018,6,0.0
2018,7,1.8
2018,8,45.000000000000085
2018,9,35.59999999999996
2018,10,167.39999999999938
2018,11,93.00000000000045
2018,12,23.199999999999985
