Year,Month,Precipitation
2016,1,431.5999999999987
2016,2,147.59999999999988
2016,3,135.59999999999994
2016,4,7.200000000000004
2016,5,87.6000000000004
2016,6,79.79999999999987
2016,7,2.2000000000000006
2016,8,39.60000000000001
2016,9,9.600000000000003
2016,10,47.60000000000016
2016,11,36.40000000000002
2016,12,53.60000000000026
2017,1,103.8000000000004
2017,2,60.00000000000003
2017,3,155.79999999999998
2017,4,103.60000000000012
2017,5,173.6
2017,6,7.800000000000002
2017,7,0.0
2017,8,19.199999999999985
2017,9,64.8
2017,10,140.60000000000002
2017,11,291.9999999999995
2017,12,184.79999999999984
2018,1,217.79999999999993
2018,2,143.40000000000003
2018,3,279.59999999999974
2018,4,0.6000000000000001
2018,5,1.4
2018,6,0.4
2018,7,2.6000000000000005
2018,8,8.0
2018,9,56.40000000000003
2018,10,259.79999999999956
2018,11,129.60000000000016
2018,12,101.2000000000001
2019,1,151.60000000000016
2019,2,99.80000000000027
2019,3,0.0
2019,4,4.400000000000002
2019,5,0.0
2019,6,0.0
2019,7,42.80000000000002
2019,8,15.799999999999999
2019,9,63.000000000000064
2019,10,86.20000000000012
2019,11,124.6000000000002
2019,12,271.39999999999964
2020,1,293.7999999999992
2020,2,387.999999999999
2020,3,111.60000000000008
2020,4,4.6000000000000005
2020,5,39.80000000000004
2020,6,72.80000000000001
2020,7,4.200000000000001
2020,8,24.599999999999973
2020,9,45.6
2020,10,55.600000000000016
2020,11,168.2000000000008
2020,12,63.60000000000041
2021,1,0.0
