Year,Precipitation
2006,2.6
2007,520.5999999999993
2008,1105.4000000000042
2009,2074.6000000000054
2010,1212.400000000003
2011,1749.4000000000087
2012,1125.4000000000012
2013,1560.6000000000063
2014,705.3999999999997
2015,1417.4000000000044
2016,1609.0000000000057
2017,1576.0000000000064
2018,1342.4000000000035
2019,1409.0000000000057
2020,1441.4000000000037
2021,10.6
