P_RP_2,P_RP_5,P_RP_10,P_RP_25,P_RP_50,P_RP_100,d
9.261694709314263,10.819841051673636,12.170422946716714,14.217920796146181,15.992666499038116,17.988944052831002,5
15.249376712390188,17.81486405497937,20.038596616335916,23.409801023706244,26.331919128600966,29.618789339261404,10
22.907541153445017,26.761404035018,30.101884510009583,35.166091733362165,39.55568364951666,44.493204443763915,20
27.86043785957838,32.54755406346011,36.61028816797319,42.76944028775556,48.10811683927788,54.113191340598355,30
36.643421631119395,42.8081479774371,48.151656199280026,56.25247676616839,63.27416740920856,71.17233749494963,60
50.92668214710459,59.49436074227658,66.9207181251562,78.17916222717466,87.9378417280464,98.91464410063689,180
60.47493314892108,70.64896704313433,79.46769324588139,92.83698466101319,104.4253203930027,117.4601650301193,360
64.66656334002977,75.54577846249393,84.97574699448059,99.27168888463481,111.66323373798534,125.60154772136487,480
68.03648643086954,79.48264243217133,89.40402827567861,104.44496452137966,117.48226122817115,132.1469327557576,600
70.876348439114,82.80027019925703,93.13577746796072,108.80452660720375,122.38600373173989,137.66278275810043,720
82.50149940548064,96.38118488124292,108.41192384512738,126.65066393634932,142.45977729491943,160.24225626734628,1440
