P_RP_2,P_RP_5,P_RP_10,P_RP_25,P_RP_50,P_RP_100,d
9.228562085722473,10.781134342789398,12.126884689939486,14.167057856610633,15.9354546154712,17.924590721089587,5
15.170804940210513,17.72307371716167,19.935348590017576,23.289183008459,26.19624502271144,29.466179772844743,10
22.819319707212223,26.65834060488489,29.985956232591377,35.03066019794372,39.40334693232331,44.321852362924375,20
27.835696758771544,32.518650629847244,36.57777687598645,42.7314594405433,48.06539504953623,54.06513682226361,30
36.954956253671966,43.172093799870886,48.56103139874514,56.73072342919598,63.81211100136524,71.77742965912798,60
52.60008620988145,61.44929086497451,69.11967153961791,80.74805778800363,90.82739854611033,102.16488857617541,180
63.63201959554385,74.33718767779837,83.61629439725652,97.68352802629245,109.87683139980521,123.59215849791664,360
68.59923831354023,80.14006918970672,90.14351803874277,105.30886275456668,118.45399517792092,133.23996296790742,480
72.64084869806655,84.86162213718085,95.45443675387385,111.51326682311016,125.43286125237438,141.08996292714465,600
76.07748632717848,88.87642440245055,99.97038494409341,116.78895805990182,131.36708832478683,147.7649272808904,720
90.40406559234607,105.61324367024888,118.79637030737702,138.78214350435536,156.10556345822428,175.59137167992307,1440
