P_RP_2,P_RP_5,P_RP_10,P_RP_25,P_RP_50,P_RP_100,d
7.590490865306147,9.00586572730973,10.249381644639577,12.160551473880746,13.839661487193913,15.750620396740466,5
12.477797987049387,14.804493574649742,16.848674996571052,19.99039421755231,22.750636725703785,25.89200922163292,10
18.76819802446349,22.267844642885386,25.342553959735028,30.068099968561114,34.219856395640356,38.944880885810264,20
22.893654747308858,27.162562253256176,30.91312655658129,36.67739964649507,41.74175788230336,47.50539481801399,30
30.392900310927768,36.06016845561225,41.03930036962366,48.691769113492825,55.41505277871193,63.06667698414929,60
43.25747850547826,51.32356392166102,58.410241716239504,69.3018150381427,78.87090175442033,89.76127306523912,180
52.32795846842588,62.08538764006224,70.65804129732189,83.83342313036582,95.40901166603894,108.58293944331548,360
56.41184903047085,66.930788378888,76.17248742578744,90.3761306145992,102.85512601258047,117.05720166509172,480
59.734667868257404,70.87320275238507,80.65926423756595,95.69954252989098,108.91358635648635,123.95220478015094,600
62.56006455957444,74.22544224254615,84.47437573703048,100.22604582310154,114.0651021765753,129.81503388367375,720
74.3381489343943,88.19974881728626,100.37823280536068,119.0954448969295,135.53995849451917,154.2551049252566,1440
