i_RP_2,i_RP_5,i_RP_10,i_RP_25,i_RP_50,i_RP_100,d
132.8917433725046,155.2488594689128,174.62772999237282,204.0063229283391,229.47132235905693,258.11497913087226,5
109.23016490227951,127.60656223123006,143.53499517355402,167.6826846353245,188.6136019102744,212.1572117176917,10
82.14982871377028,95.97035067581274,107.9498074409044,126.11080312275165,141.8525285929779,159.55920801357092,20
66.80589810743582,78.04502540013853,87.78696133063909,102.55584942264431,115.35733816905825,129.75676711144487,30
44.346097448945486,51.806687730386834,58.273434714621686,68.07709829964482,76.57479211894045,86.13320682749399,60
21.040105625476247,24.57979945604713,27.6479621000808,32.299332326806955,36.331082262340196,40.86609360830147,180
12.72644695020581,14.867487806017174,16.723315424896526,19.53677166365803,21.975440584071215,24.718515278671337,360
10.28992053966177,12.021051024444255,13.521573425417248,15.79638282445406,17.768159354995337,19.98606202274156,480
8.716931317753845,10.183429089019905,11.454571141051982,13.381637265222128,15.051994244601897,16.930852798435037,600
7.60777435638431,8.887672491546802,9.997072296851595,11.678935295205042,13.136753250917401,14.776542691039811,720
4.520218563534677,5.280680038728128,5.939838599353971,6.939130638043256,7.805304564473561,8.77959826987365,1440
