i_RP_2,i_RP_5,i_RP_10,i_RP_25,i_RP_50,i_RP_100,d
111.14033651177114,129.83809262008361,146.04507536060058,170.61504955375418,191.9119979884574,215.867328633972,5
91.49626027434113,106.88918432987623,120.2315796980155,140.45880614223748,157.99151477160578,177.7127360355684,10
68.72262346033504,80.284212105054,90.30565353002875,105.49827520008651,118.66705094854997,133.47961333129174,20
55.72087571915676,65.09510812692022,73.22057633594638,85.53888057551112,96.21623367855577,108.22638268119671,30
36.643421631119395,42.8081479774371,48.151656199280026,56.2524767661684,63.27416740920856,71.17233749494963,60
16.975560715701533,19.831453580758858,22.306906041718733,26.059720742391555,29.312613909348798,32.97154803354563,180
10.07915552482018,11.77482784052239,13.24461554098023,15.472830776835531,17.40422006550045,19.57669417168655,360
8.083320417503721,9.443222307811741,10.621968374310073,12.408961110579352,13.957904217248167,15.700193465170608,480
6.803648643086955,7.9482642432171335,8.94040282756786,10.444496452137965,11.748226122817115,13.214693275575762,600
5.906362369926166,6.900022516604752,7.761314788996727,9.067043883933646,10.198833644311657,11.471898563175037,720
3.43756247522836,4.015882703385121,4.517163493546974,5.277110997347888,5.935824053954976,6.676760677806095,1440
