P_RP_2,P_RP_5,P_RP_10,P_RP_25,P_RP_50,P_RP_100,d
9.272360487476112,10.723668667900807,11.97062558727755,13.844265731346837,15.454088216730714,17.25110217075128,5
15.247802987081393,17.634386342910222,19.68492713731907,22.766008359737288,25.41325833825796,28.36833269855174,10
22.913739637248945,26.500194006077397,29.581658130348295,34.2117738913876,38.18994680022751,42.63070489225232,20
27.91016254954402,32.27865612567782,36.03204452759452,41.671773596687146,46.5174013420343,51.926482624870054,30
36.89810506338925,42.67338977034125,47.63548625945294,55.091383922214135,61.49745487678169,68.64842897505855,60
51.98380230689517,60.12029760811624,67.11113473849399,77.615357366067,86.64053428217377,96.71516611456542,180
62.39587818786559,72.16206971602533,80.55313390642604,93.16129580383561,103.99416709241083,116.08669346996136,360
67.03664650480171,77.52921024755796,86.54436990661996,100.09027897527902,111.72885806567572,124.7207806039099,480
70.7944587555308,81.87519458967085,91.39570884469516,105.70094860334962,117.99194092393141,131.71213983367537,600
73.97819877619298,85.55725302046963,95.5059200262011,110.45448929291878,123.298227193205,137.63544538847293,720
87.15256758688423,100.79367164606107,112.51404180862099,130.12471920948911,145.25572745165172,162.14618164547713,1440
