i_RP_2,i_RP_5,i_RP_10,i_RP_25,i_RP_50,i_RP_100,d
91.08589038367376,108.07038872771676,122.99257973567492,145.92661768656893,166.07593784632695,189.0074447608856,5
74.86678792229631,88.82696144789846,101.0920499794263,119.94236530531386,136.5038203542227,155.35205532979754,10
56.30459407339046,66.80353392865615,76.02766187920508,90.20429990568334,102.65956918692106,116.83464265743079,20
45.787309494617716,54.32512450651235,61.82625311316258,73.35479929299014,83.48351576460672,95.01078963602798,30
30.392900310927768,36.06016845561225,41.03930036962366,48.691769113492825,55.41505277871193,63.06667698414929,60
14.419159501826087,17.107854640553672,19.470080572079834,23.100605012714237,26.290300584806776,29.92042435507971,180
8.721326411404313,10.34756460667704,11.776340216220314,13.9722371883943,15.901501944339824,18.09715657388591,360
7.051481128808856,8.366348547361,9.52156092822343,11.2970163268249,12.856890751572559,14.632150208136466,480
5.973466786825741,7.087320275238506,8.065926423756594,9.569954252989097,10.891358635648634,12.395220478015094,600
5.21333871329787,6.185453520212179,7.039531311419207,8.352170485258462,9.505425181381275,10.817919490306146,720
3.097422872266429,3.6749895340535943,4.182426366890028,4.9623102040387295,5.647498270604966,6.427296038552359,1440
