i_RP_2,i_RP_5,i_RP_10,i_RP_25,i_RP_50,i_RP_100,d
134.58969399511977,150.93643941810134,164.60876374102423,184.60150965932473,201.3233279312667,219.55986407759593,5
110.62579281562779,124.06197517620394,135.29992121024858,151.73292809303112,165.477401007276,180.46689395813803,10
83.19945263526017,93.3045374392224,101.75637254005996,114.11530930336627,124.45225328469601,135.72555200690533,20
67.65947345686838,75.87713229256282,82.75033511486836,92.80087183603972,101.20708323259775,110.3747571956764,30
44.9127051392587,50.36762917820865,54.930096427045825,61.601694197268166,67.18178039218313,73.26732934016734,60
21.308933917889618,23.897034890936705,26.061707733655872,29.227062293609553,31.87454673292101,34.76184911171552,180
12.88905207505702,14.454506656015864,15.763843908774696,17.678459624252156,19.279833251749334,21.02626462462414,360
10.421394298253414,11.687136677846292,12.745796360570191,14.293851654662479,15.588636243458442,17.00070672355136,480
8.828307078073173,9.900559224856428,10.79738478416076,12.108793518822502,13.205648279587404,14.40185979000226,600
7.7049784781552875,8.640795463343792,9.423507434278951,10.568050321978198,11.52533944328052,12.569342994760937,720
4.5779731518148274,5.133996123890795,5.599050555736932,6.279089653294832,6.847870462776818,7.468173328336666,1440
