P_RP_2,P_RP_5,P_RP_10,P_RP_25,P_RP_50,P_RP_100,d
9.346576885904541,10.481776085746286,11.431250199996487,12.819645784672721,13.980891906210793,15.247327560863699,5
15.364809108681133,17.23095959551875,18.791797183137497,21.07417643131522,22.98314537293241,25.065035065779703,10
23.11113303961682,25.918122170961244,28.26587181663113,31.698935649600784,34.57033059282102,37.70182603313963,20
28.19165949277074,31.615709782954283,34.479565850570765,38.667321008663684,42.16993545728315,45.98982836367137,30
37.42753602693496,41.97334027896009,45.775424940707595,51.335131601172115,55.98523843499596,61.05656740055546,60
53.272735817258805,59.74303695652774,65.15475980129001,73.06820577142366,79.68696669391805,86.90527697836312,180
64.4457455051704,72.27307733197043,78.81981287779304,88.39296351923107,96.39989193067657,105.1321145288258,360
69.47648498826756,77.91483104043995,84.97261538766287,95.29306170443225,103.92502394211472,113.33889800779455,480
73.56977946371867,82.50528128425117,89.97888387101645,100.90737225985893,110.04789740693118,120.01640170055285,600
77.05036479555291,86.40860509370259,94.23578372390676,105.68129875959525,115.25426203525875,125.69437614037666,720
91.56015227599458,102.6806954299108,111.98185408340323,125.58273841828579,136.9584402410868,149.36459094238143,1440
