P_RP_2,P_RP_5,P_RP_10,P_RP_25,P_RP_50,P_RP_100,d
18.869199904818107,21.8538194788936,24.421392205936932,28.28422505373576,31.607296561838307,35.320790795929746,5
24.06154091583373,27.867454593258834,31.141560360210672,36.06735006444741,40.304849346970464,45.040206113819295,10
29.550269379659923,34.224357992564826,38.24532687936035,44.29474878367264,49.49887289744754,55.31442180841096,20
32.97108751245459,38.18626111094408,42.6727080988909,49.42242724507676,55.22899467011193,61.71776706040076,30
39.33844890236672,45.56077444876111,50.9136420337886,58.96686386449889,65.8947929436234,73.63667409989534,60
51.30090857250622,59.41538595711767,66.39601122939948,76.8981435802895,85.9327920273357,96.02890787478132,180
60.41016507529661,69.96549132475901,78.185632775691,90.55257844222241,101.19146612024369,113.08030087843312,360
64.6216424400175,74.84311552357603,83.63632178259545,96.865425526007,108.24600021292733,120.96366168288975,480
68.08138072626599,78.8500949574303,88.11407526682221,102.05144384204019,114.04131610291799,127.43986061202658,600
71.04090607931585,82.27774070473333,91.94443001184716,106.48766167640234,118.99873856852238,132.97972326532496,720
83.48578708342879,96.69108012940875,108.051171235149,125.14207293193274,139.8448288403917,156.2749896594382,1440
