P_RP_2,P_RP_5,P_RP_10,P_RP_25,P_RP_50,P_RP_100,d
11.215807832926648,12.578036618175112,13.717396978418686,15.383459138277061,16.776943994272226,18.29665533979966,5
18.437632135937967,20.676995862700657,22.549986868374766,25.288821348838518,27.579566834546004,30.077815659689673,10
27.73315087842006,31.101512479740798,33.918790846686655,38.03843643445543,41.484084428232,45.241850668968446,20
33.82973672843419,37.93856614628141,41.37516755743418,46.40043591801986,50.60354161629888,55.1873785978382,30
44.9127051392587,50.36762917820865,54.930096427045825,61.601694197268166,67.18178039218313,73.26732934016734,60
63.926801753668855,71.69110467281011,78.18512320096761,87.68118688082865,95.62364019876304,104.28554733514656,180
77.33431245034213,86.7270399360952,94.58306345264818,106.07075774551294,115.678999510496,126.15758774774484,360
83.37115438602731,93.49709342277033,101.96637088456153,114.35081323729983,124.70908994766754,136.00565378841088,480
88.28307078073173,99.00559224856427,107.9738478416076,121.08793518822502,132.05648279587405,144.0185979000226,600
92.45974173786345,103.68954556012551,113.08208921134742,126.81660386373838,138.30407331936624,150.83211593713125,720
109.87135564355586,123.21590697337909,134.37721333768638,150.69815167907598,164.34889110664363,179.23615988007998,1440
