i_RP_2,i_RP_5,i_RP_10,i_RP_25,i_RP_50,i_RP_100,d
110.74274502866967,129.3736121134728,145.52261627927382,170.0046942793276,191.22545538565439,215.09508865307504,5
91.02482964126308,106.33844230297002,119.61209154010547,139.73509805075398,157.17747013626865,176.79707863706847,10
68.45795912163666,79.97502181465468,89.95786869777413,105.09198059383115,118.21004079696993,132.96555708877312,20
55.67139351754309,65.03730125969449,73.1555537519729,85.4629188810866,96.13079009907246,108.13027364452722,30
36.954956253671966,43.172093799870886,48.56103139874514,56.73072342919598,63.81211100136524,71.77742965912798,60
17.533362069960482,20.483096954991503,23.039890513205968,26.916019262667877,30.27579951537011,34.05496285872514,180
10.605336599257308,12.389531279633061,13.93604906620942,16.280588004382075,18.312805233300868,20.598693082986106,360
8.57490478919253,10.01750864871334,11.267939754842846,13.163607844320834,14.806749397240115,16.654995370988427,480
7.264084869806656,8.486162213718085,9.545443675387386,11.151326682311016,12.543286125237438,14.108996292714465,600
6.3397905272648725,7.406368700204213,8.330865412007784,9.732413171658484,10.947257360398904,12.313743940074199,720
3.7668360663477527,4.400551819593703,4.949848762807376,5.782589312681473,6.504398477426011,7.316307153330127,1440
