i_RP_2,i_RP_5,i_RP_10,i_RP_25,i_RP_50,i_RP_100,d
226.4303988578173,262.2458337467232,293.0567064712432,339.4107006448291,379.2875587420597,423.849489551157,5
144.3692454950024,167.204727559553,186.84936216126403,216.40410038668446,241.82909608182277,270.24123668291577,10
88.65080813897977,102.67307397769447,114.73598063808103,132.8842463510179,148.49661869234262,165.94326542523288,20
65.94217502490918,76.37252222188816,85.3454161977818,98.84485449015352,110.45798934022386,123.43553412080152,30
39.33844890236672,45.56077444876111,50.9136420337886,58.96686386449889,65.8947929436234,73.63667409989534,60
17.100302857502072,19.805128652372556,22.132003743133158,25.632714526763166,28.6442640091119,32.009635958260446,180
10.068360845882768,11.660915220793168,13.0309387959485,15.092096407037069,16.86524435337395,18.846716813072188,360
8.077705305002187,9.355389440447004,10.45454022282443,12.108178190750875,13.530750026615916,15.120457710361219,480
6.8081380726265985,7.885009495743031,8.81140752668222,10.205144384204019,11.404131610291799,12.743986061202657,600
5.9200755066096535,6.856478392061111,7.662035834320597,8.873971806366862,9.916561547376865,11.081643605443748,720
3.478574461809533,4.028795005392031,4.502132134797875,5.214253038830531,5.826867868349654,6.511457902476592,1440
