i_RP_2,i_RP_5,i_RP_10,i_RP_25,i_RP_50,i_RP_100,d
113.97442492008982,129.33710351484834,142.31978210511295,161.50314777412038,177.71460915594034,195.55335448706023,5
92.70513851852687,105.20091770882536,115.7608395324787,131.36430998511543,144.55047674176348,159.06025258031386,10
69.03757966401167,78.34319492008215,86.20717587946024,97.82709093081071,107.64683827678014,118.4522782056648,20
55.901781190561174,63.436814579913516,69.80451381006273,79.21350456285003,87.1648459938871,95.914332020367,30
36.96530405966851,41.94787875416132,46.15854848936337,52.38028591282346,57.63814617095335,63.42378313003579,60
17.571086623741902,19.93950354315578,21.941003180268925,24.898443677480255,27.397714829206816,30.14785934357259,180
10.674627756791779,12.113467000431378,13.329399972537272,15.126077497189367,16.644412121521658,18.31515506399688,360
8.650130793326232,9.816086921410813,10.801412075999156,12.257340651286656,13.487715460389833,14.841593581829912,480
7.341298901166968,8.330836822202816,9.167074637271744,10.402709924796188,11.446919480686542,12.595945339684004,600
6.417201065816731,7.282179305638558,8.01315433749342,9.093252041021358,10.00602003551487,11.010410411969561,720
3.8369156758479175,4.354095756945674,4.79115383407488,5.436956227923706,5.982710333267247,6.583246476761032,1440
