P_RP_2,P_RP_5,P_RP_10,P_RP_25,P_RP_50,P_RP_100,d
9.497868743340819,10.778091959570695,11.859981842092745,13.458595647843365,14.809550762995029,16.296112873921686,5
15.450856419754476,17.533486284804226,19.293473255413115,21.894051664185902,24.09174612362725,26.510042096718976,10
23.012526554670558,26.114398306694053,28.73572529315341,32.609030310270235,35.88227942559338,39.484092735221594,20
27.950890595280587,31.718407289956758,34.902256905031365,39.60675228142502,43.58242299694355,47.9571660101835,30
36.96530405966851,41.94787875416132,46.15854848936337,52.38028591282346,57.63814617095334,63.42378313003579,60
52.7132598712257,59.81851062946734,65.82300954080678,74.69533103244076,82.19314448762044,90.44357803071777,180
64.04776654075067,72.68080200258827,79.97639983522363,90.75646498313621,99.86647272912995,109.89093038398127,360
69.20104634660986,78.5286953712865,86.41129660799325,98.05872521029325,107.90172368311866,118.73274865463931,480
73.41298901166968,83.30836822202815,91.67074637271745,104.02709924796187,114.46919480686543,125.95945339684003,600
77.00641278980078,87.3861516676627,96.15785204992105,109.1190244922563,120.07224042617845,132.12492494363474,720
92.08597622035002,104.49829816669619,114.98769201779712,130.48694947016895,143.5850479984139,157.9979154422648,1440
