i_RP_2,i_RP_5,i_RP_10,i_RP_25,i_RP_50,i_RP_100,d
112.1589226308545,125.78131302895544,137.17500239995783,153.83574941607264,167.77070287452952,182.96793073036437,5
92.1888546520868,103.3857575731125,112.750783098825,126.44505858789132,137.89887223759445,150.39021039467823,10
69.33339911885045,77.75436651288373,84.79761544989339,95.09680694880235,103.71099177846307,113.10547809941892,20
56.38331898554148,63.23141956590857,68.95913170114153,77.33464201732737,84.3398709145663,91.97965672734274,30
37.42753602693496,41.97334027896009,45.775424940707595,51.335131601172115,55.98523843499596,61.05656740055546,60
17.757578605752936,19.914345652175914,21.71825326709667,24.356068590474553,26.562322231306016,28.968425659454372,180
10.740957584195066,12.045512888661738,13.136635479632174,14.732160586538512,16.06664865511276,17.522019088137633,360
8.684560623533445,9.739353880054994,10.621576923457859,11.911632713054031,12.99062799276434,14.16736225097432,480
7.356977946371868,8.250528128425117,8.997888387101645,10.090737225985894,11.004789740693118,12.001640170055284,600
6.420863732962743,7.2007170911418825,7.85298197699223,8.806774896632938,9.604521836271562,10.474531345031389,720
3.8150063448331077,4.278362309579617,4.665910586808468,5.232614100761908,5.7066016767119505,6.223524622599227,1440
