i_RP_2,i_RP_5,i_RP_10,i_RP_25,i_RP_50,i_RP_100,d
111.26832584971334,128.6840240148097,143.6475070473306,166.13118877616205,185.44905860076855,207.01322604901537,5
91.48681792248836,105.80631805746134,118.10956282391443,136.59605015842374,152.47955002954777,170.20999619131044,10
68.74121891174683,79.5005820182322,88.74497439104489,102.63532167416281,114.56984040068254,127.89211467675695,20
55.82032509908804,64.55731225135564,72.06408905518904,83.34354719337429,93.0348026840686,103.85296524974011,30
36.89810506338925,42.67338977034125,47.63548625945294,55.091383922214135,61.49745487678169,68.64842897505855,60
17.32793410229839,20.040099202705413,22.370378246164663,25.871785788689,28.880178094057925,32.23838870485514,180
10.399313031310932,12.027011619337555,13.425522317737675,15.526882633972601,17.33236118206847,19.34778224499356,360
8.379580813100214,9.691151280944744,10.818046238327495,12.511284871909877,13.966107258209465,15.590097575488738,480
7.0794458755530805,8.187519458967085,9.139570884469515,10.570094860334962,11.79919409239314,13.171213983367535,600
6.164849898016082,7.129771085039136,7.958826668850092,9.204540774409898,10.274852266100416,11.469620449039413,720
3.631356982786843,4.199736318585878,4.688085075359208,5.42186330039538,6.052321977152156,6.75609090189488,1440
