Year,Max_5min,Max_10min,Max_15min,Max_20min,Max_25min,Max_30min,Max_1,Max_3,Max_6,Max_8,Max_10,Max_12,Max_24
1975,18.267,32.524,41.47,49.001000000000005,49.2,49.2,49.2,75.49900000000002,75.49900000000002,75.49900000000002,75.49900000000002,75.49900000000002,78.99900000000002
1976,10.369000000000002,18.744,25.164,33.098,40.046,45.093,71.92899999999999,91.795,92.198,92.198,92.198,92.198,102.897
1977,10.411,18.295,25.896,32.421,38.876999999999995,45.419,51.70100000000001,64.801,64.801,78.85499999999998,81.70199999999998,81.70199999999998,83.00200000000001
1978,12.130999999999998,24.197,33.437,43.49100000000001,46.592,48.8,48.8,72.79599999999998,72.79599999999998,72.796,72.796,72.796,106.79799999999999
1979,8.562000000000001,15.460000000000004,20.509,27.467,33.902,36.641999999999996,37.701,66.1,66.1,66.1,66.1,72.797,72.797
1980,14.607,24.968000000000004,32.082,34.481,41.846000000000004,45.341,43.794,83.10199999999998,93.243,121.809,143.09799999999996,143.09799999999996,143.497
1981,11.248,20.883000000000003,29.882,33.838,35.68700000000001,36.00000000000001,36.00000000000001,58.398999999999994,72.193,75.40100000000002,75.40100000000002,75.40100000000002,100.401
1982,9.852,18.447000000000006,26.090000000000003,33.58,40.593,46.205,52.999,60.95200000000001,80.09899999999999,80.09899999999999,80.09899999999999,80.09899999999999,80.59899999999999
1983,14.151,26.083000000000002,32.747,41.37000000000001,52.886,56.72,45.178,69.39900000000002,69.39900000000002,69.9,69.9,69.9,114.8
1984,11.814,21.263,31.253,40.148,48.888000000000005,58.878,51.24800000000001,69.10000000000001,69.10000000000001,69.10000000000001,69.10000000000001,69.10000000000001,85.10100000000001
1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,12.455,18.843,26.301,33.278,37.185,40.0,45.039,47.202,75.32600000000001,75.39699999999999,75.39699999999999,75.39699999999999,75.39699999999999
1987,14.207,25.410999999999998,31.62,42.232,54.681999999999995,62.56400000000001,55.44300000000001,76.399,79.59899999999998,79.59899999999999,91.569,99.3,99.3
1988,13.749,23.084000000000003,27.833,30.726,34.052,39.153,52.643,98.4,98.4,98.4,98.4,98.4,117.799
1989,13.092,20.126,26.261000000000006,31.405999999999995,38.741,46.16499999999999,75.34899999999998,93.663,127.39900000000002,127.39900000000002,127.39900000000002,127.39900000000002,127.39900000000002
1990,13.138,22.123,30.251,36.299,38.214,39.7,39.7,64.84000000000002,69.00000000000001,69.00000000000001,69.00000000000001,69.00000000000001,85.09800000000003
1991,10.084,18.294,24.702,31.052,37.46,42.103,53.99999999999999,75.4,75.4,75.4,75.4,75.4,94.6
1992,16.105999999999998,29.082,39.914,50.423,55.351000000000006,55.591,42.256,55.599,61.99500000000001,61.99500000000001,61.99500000000001,61.99500000000001,61.99500000000001
1993,13.692,25.397,28.365,31.771,40.811,48.34,41.39600000000001,78.20100000000002,101.53800000000004,102.9,102.9,102.9,126.19700000000002
1994,12.521,23.287,34.58,42.07,49.45399999999999,53.295,56.5,69.541,74.29899999999998,76.61500000000002,77.308,77.308,77.308
1995,26.683000000000003,41.178,51.388000000000005,52.199,52.199,52.199,69.28099999999999,94.298,94.298,94.298,94.298,94.298,94.298
1996,15.678,28.84,38.403,41.621,49.52199999999999,56.76299999999999,77.24999999999999,118.898,118.898,118.898,118.898,118.898,151.597
1997,15.399,25.590999999999998,33.416000000000004,39.01000000000001,44.117,47.748999999999995,50.3,67.843,68.30000000000001,68.30000000000001,75.601,94.702,94.702
1998,11.979,20.268,28.814,35.744,43.48,50.011,51.526,76.0,76.0,76.0,76.0,76.0,77.0
1999,16.535,27.886,34.661,36.400999999999996,36.400999999999996,37.351,51.051,77.398,77.398,89.4,89.4,89.4,89.4
2000,18.287,35.128,49.493,54.372,58.653,58.799,63.801,63.801,74.999,74.99900000000002,74.99900000000002,74.99900000000002,97.102
2001,9.811,17.031,25.478,32.326,38.82100000000001,46.922,55.50900000000001,82.4,82.4,97.65800000000002,104.39600000000004,104.39600000000004,104.39600000000004
2002,11.313,21.395,28.385000000000005,32.71300000000001,35.2,35.2,37.399,71.999,113.296,113.403,113.40299999999999,113.40299999999999,115.803
2003,14.098,24.574,33.191,42.251000000000005,47.888000000000005,49.126999999999995,49.127,71.053,81.9,81.9,81.9,81.9,95.097
2004,21.255,31.656999999999996,37.272,38.399,38.399,38.399,44.743,66.872,110.345,112.7,112.7,112.7,112.9
2005,11.977,21.68,30.984,38.751,46.045,49.801,51.49800000000001,76.80099999999999,76.80099999999999,76.80099999999999,76.80099999999999,88.59899999999998,88.59899999999998
2006,12.446,19.147000000000002,22.102,26.355000000000004,31.587,35.22400000000001,51.76699999999999,81.801,121.60099999999998,121.601,121.601,121.601,121.601
2007,11.918,22.0,27.851,31.18,33.052,33.85399999999999,49.72000000000001,81.39900000000002,81.39900000000002,81.39900000000002,81.39900000000002,81.39900000000002,81.39900000000002
2008,10.376,20.266,23.717,26.608,32.679,35.31,37.599000000000004,45.201,50.402,50.402,50.402,50.402,54.57899999999999
2009,14.588,24.672,32.32299999999999,35.938,45.533,53.98599999999999,47.166,66.40100000000001,68.895,68.895,68.895,79.97800000000002,109.89900000000002
2010,21.141,36.029,48.31100000000001,55.06399999999999,57.458,58.2,54.706,69.99900000000001,96.99900000000002,96.99900000000002,96.99900000000002,96.99900000000002,96.99900000000002
2011,16.784000000000002,23.441000000000006,30.647,37.969,39.38,43.739,45.201,78.283,99.998,99.99799999999999,99.99799999999999,99.99799999999999,108.696
2012,9.047,16.891,22.507,24.085,29.027000000000005,34.33500000000001,45.32,67.43,80.79700000000003,80.79700000000003,87.89800000000002,87.89800000000002,90.79700000000001
2013,21.023000000000003,24.937000000000005,27.443,31.596,35.692,36.96,61.03499999999999,111.556,117.99600000000001,124.197,124.197,124.197,124.197
2014,13.174,24.396,32.575,34.830999999999996,35.69300000000001,35.79900000000001,57.044,63.401,63.401,63.401,63.401,66.007,73.595
2015,10.117,16.483,18.996,22.468000000000004,24.921999999999997,28.405,35.20100000000001,72.315,72.598,72.598,72.598,72.598,87.29799999999999
2016,9.03,16.721,23.513,28.022,33.427,38.429,44.6,87.90700000000001,108.001,109.415,122.309,122.39600000000002,122.39600000000002
2017,11.7,22.419,32.267,38.892,44.77,48.268,40.426,49.3,49.3,58.57599999999999,61.006,61.006,84.902
2018,12.922,23.596000000000004,34.306999999999995,38.359,41.94300000000001,45.7,45.7,62.104000000000006,63.40200000000002,63.40200000000002,63.40200000000002,68.4,98.40200000000004
2019,15.117,26.246,29.352000000000004,29.4,32.967,36.701,38.499,74.29899999999999,74.29899999999999,74.29899999999999,74.29899999999999,74.29899999999999,74.29899999999999
2020,13.943,26.627,38.24800000000001,38.4,39.771,46.428000000000004,53.49800000000001,99.7,116.403,116.403,116.403,116.403,116.403
