Year,Max_5min,Max_10min,Max_15min,Max_20min,Max_25min,Max_30min,Max_1,Max_3,Max_6,Max_8,Max_10,Max_12,Max_24
2013,11.819,23.234,34.828,39.982,44.985,46.0,46.0,57.99799999999998,57.99799999999998,57.99799999999999,57.99799999999999,57.99799999999999,80.49599999999998
2014,8.193999999999999,15.985,22.08,27.999000000000002,29.43,31.928000000000004,52.441,72.8,72.8,72.8,72.8,72.8,86.398
2015,10.902,16.680999999999997,21.997,28.234,33.782,34.11,44.343999999999994,45.00100000000001,48.80100000000001,48.801,48.80100000000001,48.80100000000001,76.801
2016,9.567,17.72,25.552000000000003,34.300000000000004,41.31100000000001,48.117,90.297,112.39900000000002,112.39900000000002,112.39900000000002,112.39900000000002,112.39900000000002,143.003
2017,10.63,16.987000000000002,25.372,33.617,39.923,46.112,54.43699999999999,66.19999999999999,66.19999999999999,66.19999999999999,66.19999999999999,66.19999999999999,84.204
2018,7.754,15.236999999999998,18.832,20.916,23.483,27.309,47.48300000000001,88.59900000000002,88.59900000000002,88.59900000000002,88.59900000000002,88.59900000000002,88.59900000000002
